names,pred_label,chi_reasons
sample_00005933,sad,"in the video, a person's facial expression and tone convey a sense of disappointment, as evident by their lowered eyebrows and slightly drooping mouth their words, take a look, here you are, suggest a sense of resignation or acceptance, which is inconsistent with the emotional label sad therefore, it is inferred that his emotional state is sad"
sample_00000613,sad,"in the video, a person sits at a dining table, displaying facial expressions—puffed cheek, lowered brow, stretched lips, and raised chin—that suggest distress or discomfort the person's tone and intonation are negative, and their words imply frustration or annoyance, indicating a state of emotional distress—likely sadness therefore, it is inferred that his emotional state is sad"
sample_00001832,worried,"in the video, a doctor is seen with a facial expression of laughter, which is unusual and may be due to the awkward or unexpected situation he is in his tone and intonation are also negative, and his words suggest a sense of urgency and apprehension, indicating he is likely trying to maintain composure but is feeling anxious or stressed therefore, it is inferred that his emotional state is worried"
sample_00001178,angry,"in the video, a person is seen sitting on a couch with two others, exhibiting furrowed brows, a serious expression, and speaking in a stern tone, indicating anger or frustration his angry tone, intonation, and body language suggest a strong emotional response, suggesting anger therefore, it is inferred that his emotional state is angry"
sample_00002571,relieved,"in the video, the person's facial expressions, including a serious expression, lifted chin, and normal tone, suggest a mix of emotions the phrase he, alive, good implies a sense of relief or joy, likely related to the topic being discussed, which is being alive therefore, it is inferred that his emotional state is relieved"
sample_00006664,fear,"in the video, the person's facial expressions and tone convey a sense of fear and anxiety, with a lowered eyebrow and tightened lips their words, you had better not know about this matter, but now that you know, you won't blame me, suggest a sense of desperation and possibly fear of consequences therefore, it is inferred that his emotional state is fear"
sample_00002730,sad,"in the video, a person's facial expression is characterized by lowered eyebrows and a slight frown, suggesting sadness or disappointment their tone and intonation convey sadness or resignation, and they say okay in a flat tone therefore, it is inferred that his emotional state is sad"
sample_00006774,worried,"in the video, a medical professional's facial expressions and tone convey a sense of concern and potentially negative emotions despite their calm and professional demeanor, the doctor's facial expressions lowered brow and pursed lips and tone negative suggest a sense of worry or apprehension, implying they are worried about the outcome or situation therefore, it is inferred that his emotional state is worried"
sample_00002785,happy,"in the video, a man is sitting on a couch, displaying a relaxed and carefree expression, with a slight smile and eyebrow raise, indicating amusement or pleasure his facial features, including eyes narrowing and a feature wave, suggest a sense of calm and focus therefore, it is inferred that his emotional state is happy"
sample_00001110,happy,"in the video, a woman is seen sitting on a couch, displaying a relaxed and calm demeanor, with a cheerful smile and a calm tone her serious intonation and relaxed facial expression suggest a sense of contentment and happiness, indicating a calm emotional state therefore, it is inferred that his emotional state is happy"
sample_00006433,angry,"in the video, a young woman displays a furrowed brow, indicating concentration or frustration, and her negative tone and intonation suggest annoyance or irritation her words imply impatience and possibly even anger, suggesting she is experiencing a strong emotional state of anger"
sample_00002956,angry,"in the video, a woman is dressed in a red dress and stands in a store, displaying a strong facial expression of anger or frustration her words "" originally, a cheongsam was just a small matter, there was no need to argue with you, but i just couldn't bear it when you planted it"" indicate a sense of resentment and annoyance towards the person she is addressing, suggesting she is feeling angry or irritated"
sample_00006957,angry,"in the video, a doctor sits at a desk, displaying facial expressions—a furrowed brow, raised upper eyelid, and pressed lips—that suggest anger or frustration, along with a tone that implies annoyance or irritation his words, what's wrong with you? , convey a sense of disapproval and disappointment, indicating that the person in the video is experiencing anger due to the other person's misbehavior therefore, it is inferred that his emotional state is angry"
sample_00005637,worried,"in the video, the person's facial expressions, including a frown, tightened eyelids, and pursed lips, suggest a sense of worry or concern their tone and intonation convey a sense of urgency, and their words reveal a sense of responsibility and concern for a family member's well-being therefore, it is inferred that his emotional state is worried"
sample_00004256,happy,"in the video, a woman is seen smiling and making a smile face, indicating happiness her tone and intonation seem to be relaxed, and she says, it's okay, it's okay, it's healthy her relaxed demeanor, smile, and positive tone suggest she is feeling happy therefore, it is inferred that his emotional state is happy"
sample_00004297,happy,"in the video, a woman is seen smiling, exhibiting happiness through her facial expressions and cheerful tone her smile is broad, and her cheerful tone suggests a positive emotional state her words, that's too exaggerated, and that i need to quickly finish setting up the theater before the summer vacation, imply a sense of urgency and responsibility, which is likely driven by her happy emotional state therefore, it is inferred that his emotional state is happy"
sample_00001421,sad,"in the video, a woman is seen in a professional setting, her facial expression is serious, and her tone is indifferent or detached, suggesting emotional distancing her emotional label is sad, likely due to the emotional distance she is displaying, which can be a coping mechanism for emotional pain or discomfort therefore, it is inferred that his emotional state is sad"
sample_00003605,angry,"in the video, a young girl's facial expressions and tone suggest a sense of annoyance or frustration her narrowed eyes and raised eyebrows indicate a heightened emotional state, while her negative tone and words, don't ask why, do you want to eat for free? , imply assertiveness and possibly anger therefore, it is inferred that his emotional state is angry"
sample_00006198,angry,"in the video, the woman's facial expressions, including a furrowed brow, lifted eyebrows, and slightly lower lip depressor, suggest a mix of emotions her tone and intonation convey a sense of frustration, and her words reveal she is trying to convince herself that her feelings are silly, indicating a sense of distress or annoyance therefore, it is inferred that his emotional state is angry"
sample_00001468,angry,"in the video, a woman displays a lowered brow, raised upper eyelid, and tightened lips, indicating anger or frustration her tone and intonation are angry, and she asks a series of questions, implying accusation and disappointment her words suggest a sense of betrayal or frustration, indicating a deep-seated emotional pain, likely anger, due to a perceived breach of trust or agreement therefore, it is inferred that his emotional state is angry"
sample_00002991,sad,"in the video, a woman sits at a desk, looking at her laptop, with a distressed expression on her face her facial expression and tone convey a sense of sadness and possibly anger, as she says, i don't want to see him this suggests that she is experiencing a strong emotional response, likely sadness, due to a specific situation or person therefore, it is inferred that his emotional state is sad"
sample_00000393,angry,"in the video, a man displays facial expressions—raised upper eyelids and tightened eyelids—that suggest frustration, annoyance, or disbelief his tone and intonation are angry, and he utters words implying annoyance and possibly even betrayal, such as isn't it? wealth? foreign? call him in the middle of the night, what are you doing? therefore, it is inferred that his emotional state is angry"
sample_00001152,happy,"in the video, a person is in a restaurant or dining setting, displaying a cheerful expression, characterized by a slight decrease in lower eyebrows, curved lips, and cheek dimples the person's tone and intonation sound positive, and their words convey a sense of excitement and contentment, suggesting a life achievement or accomplishment, such as traveling the person's emotional state is happy therefore, it is inferred that his emotional state is happy"
sample_00003367,angry,"in the video, a young girl sits in a classroom, displaying a mix of facial expressions and tone her words convey frustration and annoyance, as she refutes accusations of timidity and fear of making mistakes, suggesting a sense of indignation or anger therefore, it is inferred that his emotional state is angry"
sample_00004810,afraid,"in the video, a doctor is seen working in an office, wearing a white coat and appearing concerned with a serious expression and a serious tone this combination, along with their body language, suggests a sense of urgency and alarm, implying a strong emotional response, likely fear therefore, it is inferred that his emotional state is afraid"
sample_00000070,sad,"in the video, the man appears to be concerned, with a serious expression and a lowered brow, displaying a negative emotional state his facial expressions, combined with his worried tone, suggest he is struggling with a difficult or unexpected situation, and his emotional label is likely sad therefore, it is inferred that his emotional state is sad"
sample_00001755,angry,"in the video, the individual appears to be in a happy mood, displaying a smile, and using a calm and collected tone while speaking their words, we said, wang jianguo, you haven't brought anything, is that silly? it's boring, let's do it, suggest a sense of frustration or annoyance, rather than happiness therefore, it is inferred that his emotional state is angry"
sample_00002504,angry,"in the video, a person is standing on a street, wearing a red cap, and their facial expression and body language convey a sense of frustration and annoyance their pursed lips and raised eyebrows suggest a tightening of the lips, indicating displeasure their tone and intonation are negative, and they repeat the phrase can't find it three times, implying helplessness and possibly disappointment therefore, it is inferred that his emotional state is angry"
sample_00005769,sad,"in the video, a woman is seen sitting on a couch with a serious expression, looking straight or upward, and her tone and intonation suggest a sense of disbelief or surprise her facial expressions and words, please analyze all the clues in the video and reason out the emotional label of the person in the video therefore, it is inferred that his emotional state is sad"
sample_00006042,happy,"in the video, a woman is sitting at a dining table, displaying a relaxed and cheerful demeanor her smile, eye drooping, and raised lip corners suggest a happy emotional state her tone and intonation are cheerful, and she responds with a simple yet enthusiastic okay, okay, implying a sense of contentment and ease therefore, it is inferred that her emotional state is happy"
sample_00006009,sad,"in the video, a woman stands by a wall, looking at her phone, with a subtle smile that appears to be forced her tone and intonation are angry, and she expresses frustration and disappointment over her husband's failure to bring home the underwear she requested her words reveal a sense of entitlement and a desire for material possessions, indicating a deeper emotional state of unhappiness and dissatisfaction therefore, it is inferred that his emotional state is sad"
sample_00002676,sad,"in the video, a man stands in a storefront, wearing a black cap and looking directly at the camera his facial expression is serious, and his tone is serious and solemn his words, heaven and earth, the so-called life, convey a sense of despair or frustration, suggesting a profound sadness or melancholy, which is likely driven by his appearance and tone therefore, it is inferred that his emotional state is sad"
sample_00002021,angry,"in the video, a woman sits at a dining table, displaying a facial expression of anger or frustration, characterized by furrowed brows, tightened eyelids, and pursed lips her tone and intonation sound angry, and she says me therefore, it is inferred that his emotional state is angry"
sample_00004242,sad,"in the video, a man sits on a couch, displaying a serious expression, likely indicating a sense of concern, anxiety, or determination his facial expression, body language, and tone of voice collectively suggest he is trying to convey a message or find something, likely related to a personal or emotional matter, which is causing him to feel sad therefore, it is inferred that his emotional state is sad"
sample_00004025,angry,"in the video, a woman displays a serious expression, with a stern facial expression, tightened eyelids, and upper lip lift her tone and intonation convey a strong emotional intensity, and her words indicate a strong sense of determination and commitment, even in the face of adversity therefore, it is inferred that his emotional state is angry"
sample_00001455,surprise,"in the video, a woman exhibits a facial expression characterized by stretched lips, a cheerful tone, and a surprise tone her words, be gentle, i think it's hands-free, convey a sense of relief or astonishment, strongly suggesting her emotional label as surprise therefore, it is inferred that his emotional state is surprise"
sample_00002212,sad,"in the video, the woman's facial expressions suggest a mix of emotions, including a raised eyebrow, widened eyes, and a slightly drooping mouth the tone is neutral, and her statement, it makes you feel better, doesn't it? , implies empathy or understanding this combination indicates the woman is likely feeling sad, and her neutral tone and facial expressions may be a coping mechanism or a sign of resignation therefore, it is inferred that his emotional state is sad"
sample_00001097,surprise,"in the video, the person's facial expressions and actions suggest surprise lifting eyebrows, mouth stretch, and eyes widening are visible upon the face, indicating a strong emotional response the person's voice is also surprised in their words, what are you touching? , suggesting that they are startled by the unexpected touching of the object in front of them therefore, it is inferred that his emotional state is surprise"
sample_00006591,sad,"in the video, a woman sits on a couch with a distraught appearance, characterized by a frown, pursed lips, and a sad tone her words, oh , convey a sense of resignation and disappointment her facial expressions and tone suggest a deep emotional pain or discomfort, likely stemming from sadness or possibly even sadness therefore, it is inferred that his emotional state is sad"
sample_00006481,angry,"in the video, a man's facial expression, including furrowed brows, downturned mouth corners, and pursed lips, conveys contempt or disdain his tone and intonation are negative, and his words, i should call you by your proper name , suggest anger or frustration, implying a sense of superiority or contempt therefore, it is inferred that his emotional state is angry"
sample_00004262,worried,"in the video, the woman exhibits a concerned expression, furrowed brow, and a raised eyebrow, suggesting she is worried about the situation her askance gaze and ask you're not injured, are you? implies she is trying to empathize and provide support therefore, it is inferred that his emotional state is worried"
sample_00004264,happy,"in the video, a woman sits in a room filled with books, displaying a relaxed and content expression her tone and intonation sound calm, and her words begin with ah , suggesting a casual and effortless response the presence of food toys and a peaceful atmosphere may indicate a sense of happiness or contentment therefore, it is inferred that his emotional state is happy"
sample_00005168,sad,"in the video, a woman sits at a table, displaying a somber expression with lowered eyebrows and a frown her words, every day, i can't bear it, convey a deep emotional distress , indicating a sense of overwhelming burden or suffering therefore, it is inferred that his emotional state is sad"
sample_00001189,surprise,"in the video, a person is seen with a surprised expression, looking at their phone or TV screen, and their facial expression suggests happiness the person's cheerful tone and words, just those things before, ah, mom, you're dedicated to these things, imply a sense of approval and admiration, indicating a positive emotional state therefore, it is inferred that his emotional state is surprise"
sample_00001697,surprise,"in the video, the person's facial expressions and tone convey surprise, surprise, and confusion, with lifted upper eyelids and a lifted chin their surprised facial expressions, unexpected surprise, and disbelief-invoking words ah ah... suggest they are experiencing surprise, likely due to an unexpected event or revelation therefore, it is inferred that his emotional state is surprise"
sample_00000907,sad,"in the video, the person's facial expressions, including a lowered brow, lifted upper eyelids, and a distressed-sounding voice, suggest a strong emotional response their emotional state is likely sad, driven by feelings of disappointment, frustration, and possibly regret or grief therefore, it is inferred that his emotional state is sad"
sample_00003239,angry,"in the video, the man is speaking on a cell phone, his facial expressions and tone are unclear, but he is also standing in a living room with a life-like toy tiger, suggesting a sense of disconnection and unimportance the repetition of the number nano suggests a sense of monotony, possibly indicating boredom or frustration therefore, it is inferred that his emotional state is angry"
sample_00001411,therefore,"in the video, a person is driving and talking on their cell phone, displaying an angry expression on their face, characterized by lifted eyebrows and a lifted chin their tone is angry, and they use negative language, implying frustration and possibly hurt the person in the video is angry therefore"
sample_00003774,happy,"in the video, a woman sits at a dining table with a smile on her face, possibly indicating a sense of joy or excitement her eyes are gazing ahead, and her tone and intonation are cheerful she says, coincidentally, just that one time, i got pregnant this suggests she is likely feeling happy and surprised about her pregnancy, likely accompanied by excitement and anticipation for the future therefore, it is inferred that his emotional state is happy"
sample_00000370,angry,"in the video, a woman is driving her car, displaying a slight smile and a hollow appearance on her face, indicating a sense of resignation or annoyance her tone and intonation sound negative, and she describes her situation using language indicating she feels objectified and disrespected, suggesting she is feeling angry or frustrated therefore, it is inferred that his emotional state is angry"
sample_00007011,sad,"in the video, a man's facial expression is neutral, but his clean-shaven face and dressed in a white shirt suggest a sense of normalcy his calm demeanor, farewell statement, and feature of having a serious face imply a sense of resignation or acceptance, which is often accompanied by sadness therefore, it is inferred that his emotional state is sad"
sample_00006709,sad,"in the video, a woman is seen walking around a living room, displaying a serious expression with tightened lips her facial expression and tone convey a sense of distress and concern, suggesting she is experiencing strong emotions, likely sadness, possibly due to her bitter and critical words towards the person in the video therefore, it is inferred that his emotional state is sad"
sample_00001453,happy,"in the video, a woman's facial expressions, including a natural smile, dimple, and relaxed tone, suggest a positive emotional state her words, look, it's really mother daughter heart to heart, thinking about everything, further reinforce this interpretation therefore, it is inferred that his emotional state is happy"
sample_00004446,angry,"in the video, the person exhibits a facial expression characterized by furrowed brows, lifted eyebrows, and an upper lip lift their tone and intonation are also angry, with a stern voice and a questioning tone, suggesting a strong emotional response their facial expression and tone imply a sense of indignation, frustration, or outrage, which is likely driven by a sense of moral outrage or offense therefore, it is inferred that his emotional state is angry"
sample_00004307,sad,"in the video, a doctor is seen sitting in an office, wearing a white coat, with a furrowed brow and a slightly lowered eyebrow, conveying a sense of concern or unease his serious expression, negative tone, and body language suggest a strong emotional association, and his words imply a sense of disappointment, regret, or frustration therefore, it is inferred that his emotional state is sad"
sample_00006941,sad,"in the video, a person is sitting on a chair, displaying facial expressions and body language that suggest anxiety and unease their furrowed brows, lifted eyebrows, and head tilted slightly upward, along with their hesitant tone and insecure words, imply a sense of apprehension and self-consciousness, suggesting they are experiencing emotional distress, likely due to feelings of guilt, regret, or shame therefore, it is inferred that his emotional state is sad"
sample_00002183,surprise,"in the video, a person is seen cooking in a kitchen, exhibiting facial expressions and body language that suggest surprise surprise facial expressions include raised upper eyebrows, widened mouth, and tightened eyelids, indicating a strong emotional response sudden, unexpected announcement or event prompted this surprise therefore, it is inferred that his emotional state is surprise"
sample_00003051,calm,"in the video, a man's facial expression remains neutral, with a calm demeanor, and his tone is neutral he says, go and see again, which lacks emotional inflection or intonation, suggesting a detached or impersonal attitude therefore, it is inferred that his emotional state is calm"
sample_00005219,worried,"in the video, a woman's furrowed brows, tense lips, and stretched lips indicate stress and concern her tone and intonation convey urgency, as she tries to caution the other person against taking action that could escalate emotions and make a difficult situation even worse therefore, it is inferred that his emotional state is worried"
sample_00006275,angry,"in the video, a man exhibits a stern expression, with furrowed brows and tightened lips, expressing strong emotions his intense gaze and assertive tone suggest a sense of urgency and desperation, implying a deep emotional investment in the woman he is addressing therefore, it is inferred that his emotional state is angry"
sample_00002684,angry,"in the video, the man is seen in a serious professional setting, displaying a serious expression, smile, and tone that is sarcastic and skeptical his words convey a sense of disappointment and hurt, suggesting that the person in the video is feeling angry, likely due to a past relationship or interaction that has been betrayed or misunderstood therefore, it is inferred that his emotional state is angry"
sample_00004053,surprise,"in the video, a woman is seen with a smile and a look of surprise, likely indicating a sense of wonder or astonishment her gaze is directed upward, and her tone and intonation suggest a sense of curiosity or amazement, as she correctly identifies the person in the picture as lang qingqiyi therefore, it is inferred that his emotional state is surprise"
sample_00001039,angry,"in the video, a woman is seated at a restaurant table, displaying a slight frown, possibly indicating disappointment or frustration her words suggest she is in a hurry and possibly feeling annoyed by the situation therefore, it is inferred that his emotional state is angry"
sample_00000361,worried,"in the video, a young doctor is seen with a worried expression, characterized by furrowed brows, tense lips, and stretched lips, indicating concern his facial expressions, body language, and words of wisdom all point towards a sense of worry and apprehension therefore, it is inferred that his emotional state is worried"
sample_00005079,surprise,"in the video,the person lies on the bed,her facial expression eyebrow raised,the tone and intonation of her voice are increasing,indicating a positive emotional state the words she says, nan, are short and simple, possibly indicating a sense of surprise,amazement,or understanding therefore, it is inferred that his emotional state is surprise"
sample_00002298,angry,"in the video, the person's facial expressions, including tightening of eyelids, upper lip lift, and pursed lips, suggest anger their tone and intonation, particularly the angry tone, and content convey a strong emotional state the words spelled out with facial expressions and tone imply a sense of frustration, annoyance, and possibly even anger, indicating the person in the video is feeling angry"
sample_00004485,sad,"in the video, a doctor is seen with a serious expression, furrowed brows, and lifted eyebrows, indicating a sense of stress and concern his tone and intonation are negative, and he expresses anxiety and frustration over a financial issue, requesting how he can pay for this money, which suggests he is feeling sad therefore, it is inferred that his emotional state is sad"
sample_00002253,angry,"in the video, a person is sitting on a bed, displaying facial expressions of anger and frustration lowered eyebrows, enlarged nostrils, and tightened eyelids and tone and intonation of their voice suggest a strong emotional response therefore, it is inferred that his emotional state is angry"
sample_00002449,happy,"in the video, a woman's facial expression, including her smile, relaxed tone, and emoticon in her social media post, suggests she is happy and satisfied her enthusiastic response, that's it , further reinforces this interpretation therefore, it is inferred that his emotional state is happy"
sample_00006742,angry,"in the video, a woman sits on a bed, looking at her phone, with a distressed expression and lifted upper eyebrow, suggesting anger her tone is angry, and her words convey a sense of frustration and possibly even fear therefore, it is inferred that his emotional state is angry"
sample_00003575,angry,"in the video, a woman's facial expressions, including a lowered brow, tightened eyelids, and upward mouth curvature, convey a sense of annoyance or frustration her words, complete the task, let's go, you, goodbye, imply impatience or irritation, indicating an angry emotional state therefore, it is inferred that his emotional state is angry"
sample_00005749,worried,"in the video, a woman sits at a desk, staring at a cell phone, with a distressed expression her facial expressions, such as furrowed brows, lifted eyebrows, and lid tightener, suggest stress or anxiety the words i am in hong kong and have no economy convey a sense of financial insecurity, indicating the woman is likely feeling worried or concerned about her financial situation therefore, it is inferred that his emotional state is worried"
sample_00000877,worried,"in the video, a woman's serious expression is marked by furrowed brows, a lowered brow, and a raised chin, conveying a sense of concern or anxiety her calm tone and inquired question, did the surgery go smoothly? , suggests a sense of worry or apprehension therefore, it is inferred that his emotional state is worried"
sample_00005942,worried,"in the video, a doctor is making a medical consultation at a hospital, exhibiting facial expressions that suggest stress or anxiety—raised upper eyelids, tightened eyelids, and pursed lips his tone is also tense, indicating he is worried about something, possibly the situation or the patient's condition therefore, it is inferred that his emotional state is worried"
sample_00002244,angry,"in the video, a woman is seen staring up at a ceiling, with her eyes narrowed and her facial expression marked by furrowed brows, a furrowed brow, and lifted chin, indicating a strong emotional response her tone is angry, and the words how can i do without a belief? suggest a sense of frustration or despair, indicating that the woman is likely experiencing a strong emotional response, likely anger, due to feelings of powerlessness or disappointment therefore, it is inferred that his emotional state is angry"
sample_00006914,fear,"in the video, a person's confusion and delusional statements, such as this is at home and armed with the king , suggest they are experiencing a disturbed or altered state of mind this is consistent with a state of fear therefore, it is inferred that his emotional state is fear"
sample_00006884,sad,"in the video, a woman sits at a desk, displaying facial expressions of furrowed brows and tightening of eyelids, suggesting frustration or annoyance her words convey a sense of disillusionment and disappointment, questioning the genuineness of others' kindness and suggesting a sense of sadness therefore, it is inferred that his emotional state is sad"
sample_00006689,angry,"in the video, a man's facial expressions convey anger furrowed brows, tightened lips, raised eyebrows, and lifted chin suggest a strong emotional state his tone and intonation are angry, and his words are threatening and vengeful therefore, it is inferred that his emotional state is angry"
sample_00000153,happy,"in the video, a woman sits in a room, displaying a cheerful smile and enjoying her time, evidenced by her body language and the positive tone of her voice her facial expression and tone suggest a positive emotional state, indicating she is likely feeling happy therefore, it is inferred that his emotional state is happy"
